signal_date,eval_date,strategy,ticker,signal,open,close,high,pct_high,pct_close,wl,status
2026-05-08,2026-05-11,swing,AALI.JK,PRE_MARKUP,8050.0,8200.0,8250.0,2.48,1.86,W,evaluated
2026-05-08,2026-05-11,swing,AKRA.JK,PRE_MARKUP,1500.0,1475.0,1500.0,0.0,-1.67,L,evaluated
2026-05-08,2026-05-11,swing,ALDO.JK,PRE_MARKUP,680.0,675.0,715.0,5.15,-0.74,L,evaluated
2026-05-08,2026-05-11,swing,AMAG.JK,PRE_MARKUP,408.0,408.0,412.0,0.98,0.0,L,evaluated
2026-05-08,2026-05-11,swing,APIC.JK,PRE_MARKUP,1735.0,1590.0,1800.0,3.75,-8.36,L,evaluated
2026-05-08,2026-05-11,swing,APII.JK,PRE_MARKUP,192.0,189.0,194.0,1.04,-1.56,L,evaluated
2026-05-08,2026-05-11,swing,ARGO.JK,PRE_MARKUP,1000.0,950.0,1000.0,0.0,-5.0,L,evaluated
2026-05-08,2026-05-11,swing,ASGR.JK,PRE_MARKUP,1600.0,1600.0,1620.0,1.25,0.0,L,evaluated
2026-05-08,2026-05-11,swing,AUTO.JK,PRE_MARKUP,2640.0,2590.0,2650.0,0.38,-1.89,L,evaluated
2026-05-08,2026-05-11,swing,BBTN.JK,PRE_MARKUP,1370.0,1360.0,1370.0,0.0,-0.73,L,evaluated
2026-05-08,2026-05-11,swing,BCIP.JK,PRE_MARKUP,77.0,76.0,79.0,2.6,-1.3,L,evaluated
2026-05-08,2026-05-11,swing,BDMN.JK,PRE_MARKUP,4660.0,4700.0,4830.0,3.65,0.86,W,evaluated
2026-05-08,2026-05-11,swing,BJBR.JK,PRE_MARKUP,805.0,800.0,810.0,0.62,-0.62,L,evaluated
2026-05-08,2026-05-11,swing,BJTM.JK,PRE_MARKUP,605.0,595.0,605.0,0.0,-1.65,L,evaluated
2026-05-08,2026-05-11,swing,BNGA.JK,PRE_MARKUP,1695.0,1660.0,1700.0,0.29,-2.06,L,evaluated
2026-05-08,2026-05-11,swing,BRAM.JK,PRE_MARKUP,4670.0,4660.0,4670.0,0.0,-0.21,L,evaluated
2026-05-08,2026-05-11,swing,BSSR.JK,PRE_MARKUP,4010.0,4000.0,4010.0,0.0,-0.25,L,evaluated
2026-05-08,2026-05-11,swing,CEKA.JK,PRE_MARKUP,2360.0,2350.0,2410.0,2.12,-0.42,L,evaluated
2026-05-08,2026-05-11,swing,CFIN.JK,PRE_MARKUP,350.0,350.0,354.0,1.14,0.0,L,evaluated
2026-05-08,2026-05-11,swing,CLPI.JK,PRE_MARKUP,1615.0,1615.0,1615.0,0.0,0.0,L,evaluated
2026-05-08,2026-05-11,swing,DART.JK,PRE_MARKUP,157.0,149.0,157.0,0.0,-5.1,L,evaluated
2026-05-08,2026-05-11,swing,DEFI.JK,PRE_MARKUP,181.0,177.0,210.0,16.02,-2.21,L,evaluated
2026-05-08,2026-05-11,swing,DKFT.JK,PRE_MARKUP,730.0,770.0,775.0,6.16,5.48,W,evaluated
2026-05-08,2026-05-11,swing,DMAS.JK,PRE_MARKUP,154.0,150.0,156.0,1.3,-2.6,L,evaluated
2026-05-08,2026-05-11,swing,DSFI.JK,PRE_MARKUP,99.0,99.0,101.0,2.02,0.0,L,evaluated
2026-05-08,2026-05-11,swing,DUTI.JK,PRE_MARKUP,4100.0,4100.0,4100.0,0.0,0.0,L,evaluated
2026-05-08,2026-05-11,swing,EPMT.JK,PRE_MARKUP,2370.0,2390.0,2400.0,1.27,0.84,W,evaluated
2026-05-08,2026-05-11,swing,EXCL.JK,PRE_MARKUP,3050.0,3020.0,3070.0,0.66,-0.98,L,evaluated
2026-05-08,2026-05-11,swing,GJTL.JK,PRE_MARKUP,1190.0,1240.0,1245.0,4.62,4.2,W,evaluated
2026-05-08,2026-05-11,swing,GSMF.JK,PRE_MARKUP,144.0,140.0,147.0,2.08,-2.78,L,evaluated
2026-05-08,2026-05-11,swing,HERO.JK,PRE_MARKUP,478.0,460.0,480.0,0.42,-3.77,L,evaluated
2026-05-08,2026-05-11,swing,ICON.JK,PRE_MARKUP,136.0,135.0,140.0,2.94,-0.74,L,evaluated
2026-05-08,2026-05-11,swing,IMJS.JK,PRE_MARKUP,197.0,188.0,198.0,0.51,-4.57,L,evaluated
2026-05-08,2026-05-11,swing,IMPC.JK,PRE_MARKUP,2340.0,2250.0,2340.0,0.0,-3.85,L,evaluated
2026-05-08,2026-05-11,swing,INDF.JK,PRE_MARKUP,6950.0,6925.0,7000.0,0.72,-0.36,L,evaluated
2026-05-08,2026-05-11,swing,INDY.JK,PRE_MARKUP,3170.0,3160.0,3500.0,10.41,-0.32,L,evaluated
2026-05-08,2026-05-11,swing,IPOL.JK,PRE_MARKUP,127.0,125.0,129.0,1.57,-1.57,L,evaluated
2026-05-08,2026-05-11,swing,JAWA.JK,PRE_MARKUP,157.0,160.0,160.0,1.91,1.91,W,evaluated
2026-05-08,2026-05-11,swing,JKON.JK,PRE_MARKUP,76.0,75.0,77.0,1.32,-1.32,L,evaluated
2026-05-08,2026-05-11,swing,JPFA.JK,PRE_MARKUP,2410.0,2530.0,2530.0,4.98,4.98,W,evaluated
2026-05-08,2026-05-11,swing,KOBX.JK,PRE_MARKUP,182.0,180.0,186.0,2.2,-1.1,L,evaluated
2026-05-08,2026-05-11,swing,LPIN.JK,PRE_MARKUP,438.0,434.0,440.0,0.46,-0.91,L,evaluated
2026-05-08,2026-05-11,swing,MDIA.JK,PRE_MARKUP,126.0,118.0,131.0,3.97,-6.35,L,evaluated
2026-05-08,2026-05-11,swing,MERK.JK,PRE_MARKUP,4250.0,4280.0,4380.0,3.06,0.71,W,evaluated
2026-05-08,2026-05-11,swing,MIDI.JK,PRE_MARKUP,348.0,344.0,348.0,0.0,-1.15,L,evaluated
2026-05-08,2026-05-11,swing,MLBI.JK,PRE_MARKUP,5900.0,6050.0,6125.0,3.81,2.54,W,evaluated
2026-05-08,2026-05-11,swing,NIRO.JK,PRE_MARKUP,208.0,204.0,250.0,20.19,-1.92,L,evaluated
2026-05-08,2026-05-11,swing,PADI.JK,PRE_MARKUP,115.0,127.0,133.0,15.65,10.43,W,evaluated
2026-05-08,2026-05-11,swing,PKPK.JK,PRE_MARKUP,3130.0,3060.0,3150.0,0.64,-2.24,L,evaluated
2026-05-08,2026-05-11,swing,RBMS.JK,PRE_MARKUP,79.0,73.0,79.0,0.0,-7.59,L,evaluated
2026-05-08,2026-05-11,swing,RICY.JK,PRE_MARKUP,103.0,101.0,105.0,1.94,-1.94,L,evaluated
2026-05-08,2026-05-11,swing,SDRA.JK,PRE_MARKUP,270.0,258.0,270.0,0.0,-4.44,L,evaluated
2026-05-08,2026-05-11,swing,SMAR.JK,PRE_MARKUP,6200.0,6225.0,6225.0,0.4,0.4,W,evaluated
2026-05-08,2026-05-11,swing,SMSM.JK,PRE_MARKUP,1835.0,1860.0,1865.0,1.63,1.36,W,evaluated
2026-05-08,2026-05-11,swing,TALF.JK,PRE_MARKUP,860.0,760.0,1000.0,16.28,-11.63,L,evaluated
2026-05-08,2026-05-11,swing,TBMS.JK,PRE_MARKUP,1340.0,1330.0,1345.0,0.37,-0.75,L,evaluated
2026-05-08,2026-05-11,swing,TINS.JK,PRE_MARKUP,3380.0,3560.0,3900.0,15.38,5.33,W,evaluated
2026-05-08,2026-05-11,swing,TOTL.JK,PRE_MARKUP,1245.0,1230.0,1250.0,0.4,-1.2,L,evaluated
